architecture,cfo_compensate,seed,roc_auc,f1,precision,recall,accuracy
MKAN,False,2,0.7559491666666667,0.58,0.87,0.435,0.60625
MKAN,False,3,0.7553508333333333,0.49032258064516127,0.8658227848101265,0.342,0.555625
MKAN,False,4,0.6705025,0.3942161339421613,0.8248407643312102,0.259,0.5025
MKAN,False,5,0.7492675,0.5362819626814098,0.8680089485458613,0.388,0.580625
MKAN,False,6,0.7696083333333332,0.5531914893617021,0.8818380743982495,0.403,0.593125
MKAN,False,7,0.7930875000000001,0.6506632975363235,0.8833619210977701,0.515,0.654375
MKAN,False,8,0.7033133333333333,0.5393566050650239,0.8546637744034707,0.394,0.579375
MKAN,False,9,0.7902475,0.5515358361774744,0.8688172043010752,0.404,0.589375
MKAN,True,0,0.4768216666666667,0.22932022932022933,0.6334841628959276,0.14,0.411875
MKAN,True,1,0.49093916666666665,0.19711129991503823,0.655367231638418,0.116,0.409375
MKAN,True,2,0.49031,0.1867572156196944,0.6179775280898876,0.11,0.40125
MKAN,True,3,0.48184499999999997,0.20168067226890757,0.631578947368421,0.12,0.40625
MKAN,True,4,0.5180441666666666,0.19425675675675674,0.625,0.115,0.40375
MKAN,True,5,0.5076533333333333,0.21322314049586777,0.6142857142857143,0.129,0.405
MKAN,True,6,0.5020966666666666,0.2483766233766234,0.6594827586206896,0.153,0.42125
MKAN,True,7,0.5054316666666666,0.20521446593776282,0.6455026455026455,0.122,0.409375
MKAN,True,8,0.5155225,0.18771331058020477,0.6395348837209303,0.11,0.405
MKAN,True,9,0.49453416666666666,0.19430485762144054,0.5979381443298969,0.116,0.39875
Polar MKAN,False,0,0.6947,0.40978593272171254,0.8701298701298701,0.268,0.5175
Polar MKAN,False,1,0.7679325,0.49384503982621286,0.89501312335958,0.341,0.563125
Polar MKAN,False,2,0.6626075,0.3801526717557252,0.8032258064516129,0.249,0.4925
Polar MKAN,False,3,0.7141791666666668,0.4396743153219837,0.8461538461538461,0.297,0.526875
Polar MKAN,False,4,0.7082041666666667,0.48840579710144927,0.8868421052631579,0.337,0.55875
Polar MKAN,False,5,0.7253800000000001,0.4892086330935252,0.8717948717948718,0.34,0.55625
Polar MKAN,False,6,0.7663724999999999,0.45461254612546126,0.8676056338028169,0.308,0.538125
Polar MKAN,False,7,0.7608408333333333,0.5071633237822349,0.8939393939393939,0.354,0.57
Polar MKAN,False,8,0.7356458333333333,0.4145234493192133,0.8509316770186336,0.274,0.51625
Polar MKAN,False,9,0.7705116666666666,0.5131860299358517,0.8933002481389578,0.36,0.573125
Polar MKAN,True,0,0.5000458333333333,0.15696649029982362,0.664179104477612,0.089,0.4025
Polar MKAN,True,1,0.5086275,0.16134751773049646,0.7109375,0.091,0.40875
Polar MKAN,True,2,0.5006633333333333,0.1602112676056338,0.6691176470588235,0.091,0.40375
Polar MKAN,True,3,0.49231083333333336,0.1616871704745167,0.6666666666666666,0.092,0.40375
Polar MKAN,True,4,0.4865075,0.14513274336283186,0.6307692307692307,0.082,0.39625
Polar MKAN,True,5,0.4981833333333333,0.1347517730496454,0.59375,0.076,0.39
Polar MKAN,True,6,0.5013825000000001,0.15357458075904679,0.6541353383458647,0.087,0.400625
Polar MKAN,True,7,0.500185,0.15817223198594024,0.6521739130434783,0.09,0.40125
Polar MKAN,True,8,0.4738025,0.15127528583992964,0.6277372262773723,0.086,0.396875
Polar MKAN,True,9,0.51342,0.16796536796536796,0.6258064516129033,0.097,0.399375
Polar KAN,False,0,0.6326966666666667,0.30048465266558966,0.7815126050420168,0.186,0.45875
Polar KAN,False,1,0.6094583333333333,0.33695652173913043,0.7534722222222222,0.217,0.46625
Polar KAN,False,2,0.6238883333333334,0.3228410008071025,0.8368200836820083,0.2,0.475625
Polar KAN,False,3,0.5069991666666667,0.18445772843723313,0.631578947368421,0.108,0.403125
Polar KAN,False,4,0.6240783333333333,0.3132530120481928,0.7959183673469388,0.195,0.465625
Polar KAN,False,5,0.5228666666666667,0.1793103448275862,0.65,0.104,0.405
Polar KAN,False,6,0.5280024999999999,0.16972878390201224,0.6783216783216783,0.097,0.406875
Polar KAN,False,7,0.5468000000000001,0.17854077253218884,0.6303030303030303,0.104,0.401875
Polar KAN,False,8,0.5362275000000001,0.159369527145359,0.6408450704225352,0.091,0.4
Polar KAN,False,9,0.5027241666666666,0.17881944444444445,0.6776315789473685,0.103,0.40875
Polar KAN,True,0,0.5120883333333333,0.12804328223624886,0.6513761467889908,0.071,0.395625
Polar KAN,True,1,0.4898808333333333,0.1213768115942029,0.6442307692307693,0.067,0.39375
Polar KAN,True,2,0.5369183333333334,0.15964912280701754,0.65,0.091,0.40125
Polar KAN,True,3,0.470495,0.1079136690647482,0.5357142857142857,0.06,0.38
Polar KAN,True,4,0.5107216666666666,0.1462979482604817,0.6776859504132231,0.082,0.401875
Polar KAN,True,5,0.5087824999999999,0.17028670721112077,0.6490066225165563,0.098,0.403125
Polar KAN,True,6,0.49781666666666663,0.15859030837004406,0.6666666666666666,0.09,0.403125
Polar KAN,True,7,0.5070675,0.16202090592334495,0.6283783783783784,0.093,0.39875
Polar KAN,True,8,0.4995908333333333,0.16898954703832753,0.6554054054054054,0.097,0.40375
Polar KAN,True,9,0.5158400000000001,0.17316017316017315,0.6451612903225806,0.1,0.403125
Polar CNN,False,0,0.5266866666666667,0.19864176570458403,0.6573033707865169,0.117,0.41
Polar CNN,False,1,0.5404041666666666,0.1929371231696813,0.6956521739130435,0.112,0.414375
Polar CNN,False,2,0.5538133333333334,0.2330259849119866,0.7202072538860104,0.139,0.428125
Polar CNN,False,3,0.5210083333333333,0.2222222222222222,0.7021276595744681,0.132,0.4225
Polar CNN,False,4,0.5516558333333333,0.2134927412467976,0.7309941520467836,0.125,0.424375
Polar CNN,False,5,0.554575,0.1840277777777778,0.6973684210526315,0.106,0.4125
Polar CNN,False,6,0.51975,0.16666666666666666,0.631578947368421,0.096,0.4
Polar CNN,False,7,0.5357041666666668,0.19503849443969204,0.6745562130177515,0.114,0.411875
Polar CNN,False,8,0.5086741666666666,0.23402489626556017,0.6878048780487804,0.141,0.423125
Polar CNN,False,9,0.5468725,0.21768707482993196,0.7272727272727273,0.128,0.425
Polar CNN,True,0,0.5180358333333334,0.1793103448275862,0.65,0.104,0.405
Polar CNN,True,1,0.4896041666666667,0.16681146828844484,0.6357615894039735,0.096,0.400625
Polar CNN,True,2,0.5028641666666667,0.1433628318584071,0.6230769230769231,0.081,0.395
Polar CNN,True,3,0.5039458333333333,0.2175732217573222,0.6666666666666666,0.13,0.415625
Polar CNN,True,4,0.49672083333333333,0.14801762114537445,0.6222222222222222,0.084,0.395625
Polar CNN,True,5,0.5101141666666666,0.16421780466724287,0.6050955414012739,0.095,0.395625
Polar CNN,True,6,0.5149116666666667,0.17734855136084285,0.7266187050359713,0.101,0.414375
Polar CNN,True,7,0.5073183333333333,0.1832191780821918,0.6369047619047619,0.107,0.40375
Polar CNN,True,8,0.5055841666666667,0.16277056277056276,0.6064516129032258,0.094,0.395625
Polar CNN,True,9,0.4956775,0.13737734165923282,0.6363636363636364,0.077,0.395625
